cell_type,action,energy,age,reward
2,3,45.30734823638504,5,0.0
2,1,41.487024378733686,11,0.0
2,1,33.98247668235733,10,0.0
2,0,33.705784468613075,19,0.0
2,1,41.84289493250397,9,0.0
1,0,76.4242430469327,24,0.0
2,2,33.30875177477452,12,0.0
1,1,65.45757327249606,14,-2.5
2,1,44.826190267935274,11,0.0
2,3,33.42232404908181,9,0.0
2,1,49.858824202649735,4,0.0
1,1,11.781563831080904,12,-2.5
2,1,134.37452021324813,11,0.0
2,2,35.16712228228024,11,0.0
1,2,119.05734614403853,10,0.0
2,3,47.58139203473685,8,0.0
2,3,48.28194460420152,5,0.0
2,2,82.1625314120863,10,0.0
2,0,46.21428999345773,7,0.0
2,3,29.940325585862382,15,0.0
1,1,40.97976490836712,14,-2.5
2,3,140.0,5,98.17056955291076
2,3,117.41482361859248,12,75.03462231916869
2,3,35.156389810299295,11,0.0
2,2,36.201900348627696,15,0.0
1,0,77.27060204227539,24,0.0
2,3,98.75401103148852,1,0.0
2,0,28.048476533338697,25,0.0
2,2,94.89406853363093,6,0.0
2,2,90.69406853363093,6,0.0
1,1,55.37976897682909,13,-2.5
2,0,41.00190034862769,15,0.0
2,0,28.55638981029929,11,0.0
1,2,119.06550827361639,12,0.0
1,1,102.72803420790108,13,-2.5
2,2,98.02865000211617,3,0.0
1,1,58.81437523256547,12,-2.5
2,0,46.862894612828036,3,0.0
2,3,70.43960501218095,7,27.955286267652
1,1,14.275891032623296,12,-2.5
1,0,37.413407672718144,14,0.0
2,1,39.41680806044592,9,0.0
2,3,46.012355913462876,14,0.0
2,3,35.056327431261124,16,0.0
2,0,42.2409477341151,14,0.0
2,3,49.73527673753167,11,0.0
2,1,41.961359267873554,6,0.0
1,1,58.81437523256547,12,-2.5
2,0,50.25597394964752,8,0.0
2,1,38.0409477341151,14,0.0
1,0,79.73740683268112,11,0.0
2,1,138.75401103148852,4,0.0
2,2,50.37859062342639,5,0.0
2,3,42.87811720634014,13,0.0
1,3,35.06260604533445,9,0.0
2,1,22.244769430459204,22,0.0
2,3,47.76592688461882,4,0.0
1,3,37.93893469670643,8,0.0
2,1,41.31063368499353,16,0.0
1,3,33.125378166979544,10,0.0
1,1,82.23009685973275,26,-2.5
1,1,45.085853667757554,16,-2.5
1,1,60.30017895432621,12,-2.5
1,1,37.54253703001222,15,-2.5
2,3,38.328480035200265,14,0.0
2,2,136.30437386034865,5,0.0
2,0,138.4249317842871,15,0.0
2,2,32.686850542705976,12,0.0
1,1,55.377147354210564,13,-2.5
1,0,38.26513790702949,12,0.0
2,2,48.64169334566247,4,0.0
2,1,41.106752639159424,12,0.0
2,3,90.67889407359672,6,0.0
2,1,39.75226317748782,16,0.0
2,0,15.369259597434638,26,0.0
2,3,35.568239725817634,15,0.0
1,1,48.50981849025228,15,-2.5
1,1,51.94254109847419,14,-2.5
2,1,34.81196912250448,13,0.0
2,1,40.99131056297523,15,0.0
2,2,28.330448105339883,16,0.0
2,1,44.812747039740316,10,0.0
2,1,40.03331792316247,9,0.0
2,1,53.051550872357865,13,0.0
1,2,119.0627721216451,14,0.0
1,1,45.085853667757554,16,-2.5
1,1,28.371360026400207,14,0.0
1,1,62.230096859732754,11,-2.5
2,0,33.2465123297768,15,0.0
2,0,36.374176052150176,10,0.0
2,1,102.24523198933636,3,0.0
1,1,71.99818469521496,15,0.0
1,1,55.355822551067,13,-2.5
2,1,37.25360516872802,11,0.0
2,1,36.227708671693684,13,0.0
2,0,33.59840340192645,14,0.0
2,1,35.49312130647553,17,0.0
2,2,95.58836018138774,4,0.0
2,0,39.19240900134557,14,0.0
1,0,35.53182339110403,16,0.0
2,2,42.86818165156929,13,0.0
2,0,37.57417605215018,10,0.0
1,1,48.498184695214974,15,-2.5
2,2,98.74085812898771,1,0.0
2,3,93.84523198933636,3,0.0
1,0,38.32078150377028,13,0.0
2,2,30.31011772642234,27,0.0
2,1,28.467556038418163,12,0.0
1,1,41.64149726449834,17,-2.5
2,3,40.39240900134557,14,0.0
2,3,118.29159542777259,14,77.89918642642702
2,1,38.866345062103974,11,0.0
2,0,39.4444079490907,7,0.0
1,1,41.64149726449834,17,-2.5
2,3,99.78836018138774,4,0.0
2,2,98.74085812898771,1,0.0
2,3,39.16933816418798,15,0.0
2,0,79.00776340142265,13,0.0
1,3,73.93279095095134,14,0.0
2,0,98.04523198933636,3,0.0
2,3,37.992409001345564,14,0.0
2,0,48.63036454447586,5,0.0
1,1,48.065462086993065,16,-2.5
1,1,45.065462086993065,16,-2.5
2,3,29.47130623432758,17,0.0
2,1,40.73225636807004,14,0.0
1,1,34.098180626753006,16,-2.5
2,3,45.81526074040756,8,0.0
2,0,95.96578991327479,9,0.0
2,2,28.909097854805342,16,0.0
1,2,119.06374176543139,14,0.0
2,3,35.00448293873403,15,0.0
1,1,41.20523902992973,18,-2.5
2,3,44.61983733881113,14,0.0
2,3,36.0992040763508,19,0.0
2,0,46.71472949747508,9,0.0
1,1,102.98163116024513,28,0.0
2,2,62.08956484537154,14,0.0
2,2,36.41013572879366,11,0.0
2,0,38.12583173939202,11,0.0
2,0,34.84477699371737,18,0.0
2,3,135.59688767657823,7,0.0
2,1,49.87589111808181,11,0.0
1,1,46.94252329449028,28,0.0
2,0,11.974710631444845,28,0.0
1,1,57.58411672244285,14,-2.5
2,2,46.56279898254425,15,0.0
2,2,38.28391205531188,15,0.0
1,1,53.70418080445659,5,0.0
2,3,41.154176534273454,9,0.0
2,3,37.174714835674564,15,0.0
1,1,46.56192646064636,16,-2.5
2,3,37.59448612386124,10,0.0
2,3,44.09885059473719,11,0.0
2,2,51.81921172566001,13,0.0
1,1,20.490745388572375,16,-2.5
1,0,37.384523269201665,14,0.0
1,1,45.06192646064636,16,-2.5
2,1,28.30563945135273,16,0.0
2,0,36.53978260908216,13,0.0
2,3,103.99688767657821,4,0.0
2,2,28.999266455388977,14,0.0
2,3,43.21988216083393,4,0.0
2,1,32.53902614600634,17,0.0
2,0,40.02146726851606,8,0.0
2,1,46.19144625685963,5,0.0
1,1,44.62920385242445,17,-2.5
2,0,34.064009958858435,15,0.0
1,1,56.60284607032083,26,-2.5
1,0,67.20100444518692,16,0.0
2,1,39.05814238209676,13,0.0
2,3,20.51264222531267,16,0.0
1,2,105.25579560325397,3,0.0
2,1,36.07421698807797,17,0.0
2,0,45.26742813146245,12,0.0
2,1,47.44446865480706,12,0.0
2,2,28.229331078772447,18,0.0
1,0,35.46095642174561,15,0.0
2,3,39.387701586278155,18,0.0
1,1,41.6383596131903,17,-2.5
1,1,48.28167218247366,19,-2.5
2,1,101.56546521330347,5,0.0
2,0,20.151779767677326,19,0.0
2,1,45.12428941595318,9,0.0
2,1,40.95272531992748,9,0.0
1,1,66.8387790276101,19,-2.5
2,0,37.65777416825819,19,0.0
2,0,31.874216988077972,17,0.0
1,3,27.321196681695653,13,0.0
2,3,35.33399102597064,15,0.0
2,1,50.19004480524132,9,0.0
1,1,54.16054987498679,15,-2.5
2,3,102.26109135295482,3,0.0
2,1,25.874216988077986,17,0.0
2,1,88.96546521330346,5,0.0
2,1,19.94794189566079,15,0.0
1,1,51.92591537444887,14,-2.5
2,2,91.41145418181495,4,0.0
2,3,41.63010932525931,9,0.0
2,0,40.28957138815507,17,0.0
2,1,40.62941875487954,17,0.0
2,2,51.29577292634388,11,0.0
2,3,36.39004480524131,9,0.0
2,2,18.02933107877245,18,0.0
1,1,88.98662484426228,17,-2.5
2,0,25.9095166584261,17,0.0
1,1,55.78062749653661,17,-2.5
2,0,27.112642225312673,16,0.0
2,0,90.70859340535485,6,0.0
1,1,4.0888988382927725,27,-2.5
1,3,70.07296586892667,16,0.0
1,1,57.69117169673184,16,-2.5
2,3,28.909516658426096,17,0.0
1,3,70.07296586892667,16,0.0
2,0,47.587789262385265,14,0.0
2,3,37.94794189566078,15,0.0
2,0,17.098142215418246,26,0.0
2,3,110.13328359505812,11,65.00753941978546
2,1,25.874010393586765,17,0.0
2,3,34.29395566385777,17,0.0
1,1,38.20938573939587,18,-2.5
1,1,38.20938573939587,18,-2.5
2,2,43.1743724501708,12,0.0
2,2,34.9697283140815,15,0.0
1,1,35.662282493273786,16,0.0
2,0,31.229149781350138,21,0.0
2,2,28.229124484281222,19,0.0
1,1,38.20938573939587,18,-2.5
2,0,58.589630410534966,15,0.0
1,1,68.14399199513224,17,0.0
1,1,44.57875980996304,18,-2.5
1,1,31.352698308679237,20,-2.5
2,2,93.8816013922412,3,0.0
2,0,42.857141094617965,12,0.0
2,2,39.05093955642916,18,0.0
2,1,32.3046605406739,17,0.0
2,1,45.84030539641875,9,0.0
2,0,45.34410077492582,6,0.0
2,2,36.579663183646375,16,0.0
1,1,18.33278368540234,27,-2.5
2,0,18.07401039358676,17,0.0
2,3,98.76136816827409,1,0.0
2,1,25.89395566385778,17,0.0
2,3,28.909310063934868,16,0.0
2,1,99.82245952122891,4,0.0
2,0,37.09839747760322,7,0.0
2,2,96.32994570499935,2,0.0
1,1,38.20938573939587,18,-2.5
1,1,31.352698308679237,20,-2.5
2,3,28.17472269871672,20,0.0
2,0,30.257141094617964,12,0.0
2,1,52.33874923470784,9,0.0
1,1,86.07079961947812,18,0.0
1,1,46.567023595247896,16,-2.5
2,3,27.594744163175854,29,0.0
1,2,119.07102612620557,16,0.0
2,2,29.23442864373338,17,0.0
2,1,82.68160173905093,11,0.0
1,1,43.15220970341689,17,-2.5
2,3,26.451132970925503,19,0.0
1,0,33.617168656120164,17,0.0
2,1,29.884908684899216,18,0.0
2,0,98.11019384922466,3,0.0
2,3,34.19975869459616,15,0.0
2,0,35.50946030461363,17,0.0
1,1,47.376785434179496,21,-2.5
2,0,40.918997378933156,10,0.0
1,1,38.22917810330124,18,-2.5
2,0,14.60154702765305,31,0.0
1,1,34.79457184756486,19,-2.5
1,1,52.794571847564846,19,-2.5
2,1,46.409044443961854,14,0.0
1,1,47.93682619137509,8,0.0
2,2,44.530031188035785,17,0.0
2,0,27.68955820816019,17,0.0
1,1,50.8473839311064,18,-2.5
2,1,29.333155770794097,21,0.0
2,0,105.27489990755751,13,0.0
2,1,41.60904444396186,14,0.0
2,2,42.65425853781206,18,0.0
2,3,38.38446553113467,7,0.0
2,0,33.03166111774072,11,0.0
2,1,28.71545470519452,15,0.0
2,3,93.39802569276392,18,57.343767154951856
2,0,17.370947391271855,20,0.0
2,0,32.954970842942025,21,0.0
1,1,102.4492195247008,31,0.0
2,2,28.398223349641682,15,0.0
2,0,27.1884735605397,15,0.0
2,1,30.32373949491897,12,0.0
1,1,30.955908022226645,21,-2.5
2,2,38.88429245812061,10,0.0
1,1,46.03088497425878,9,0.0
1,1,47.78781521183194,17,0.0
2,1,40.40753308237279,16,0.0
2,1,35.407911677755635,20,0.0
2,1,98.79207837717826,1,0.0
1,2,72.67333116174713,19,0.0
2,1,17.191057383322462,26,0.0
1,1,38.24626848630058,18,-2.5
2,2,35.75798410563083,12,0.0
2,2,34.806508139366144,13,0.0
2,3,51.71107575611141,11,0.0
2,2,26.870399630366506,17,0.0
2,1,26.34704922012028,22,0.0
1,1,100.54327830758449,32,0.0
1,1,44.94071510176293,7,0.0
2,2,42.721483952062925,17,0.0
2,0,33.305419727625996,22,0.0
2,0,39.22946761602154,14,0.0
2,2,51.42952833095701,14,0.0
2,2,43.99371848326254,9,0.0
2,1,91.50227222640291,4,0.0
2,0,42.62326607783273,20,0.0
2,0,31.901538681791898,18,0.0
2,2,45.04852913451769,6,0.0
1,0,53.977475592796914,18,0.0
2,3,99.82989332135313,10,52.19185777134729
1,1,48.636651836968184,2,0.0
2,2,43.25798410563084,12,0.0
2,2,95.70227222640291,4,0.0
2,3,37.505419727626,22,0.0
2,2,80.14138604851637,16,0.0
